Заголовок,Время публикации,Описание,Ссылка
В России получили новые светящиеся соединения,7 часов назад,"Ученые из Санкт-Петербурга создали новый тип неорганических люминофоров — материалов, способных преобразовывать поглощаемую энергию в свет, — на основе соединений бората висмута, стронция и европия. Получившиеся соединения излучают свет в красном диапазоне, что делает их перспективными для применения в светодиодных лампах и других осветительных устройствах. Информация о достижении ученыхопубликованана официальном сайте Десятилетия науки и технологий в России. Неорганические люминофоры, способные излучать свет, широко применяются в светодиодных лампах, которые отличаются от традиционных ламп накаливания тем, что они почти не нагреваются, имеют меньшие размеры и обеспечивают более яркое свечение. Кроме того, светодиоды более экономичны в использовании, гибки в применении и служат дольше. Для коммерческого использования к люминофорам предъявляется ряд строгих требований: они должны быть устойчивыми к воздействию химических веществ, температурным колебаниям, обладать высокой светоотдачей, долгим сроком службы, а их производство должно быть относительно простым. Российские химики синтезировали смешанные бораты стронция, висмута и европия с различным соотношением числа атомов висмута и европия в молекуле. Для этого они использовали порошки карбоната стронция, борной кислоты и оксидов висмута и европия, которые спекали при температурах от 650 до 900 °С. В процессе спекания происходила реакция диффузии, при которой частицы веществ взаимно проникали друг в друга. Специалисты изучили оптические и люминесцентные характеристики синтезированных соединений. Выяснилось, что наиболее интенсивное свечение демонстрирует соединение, в котором количество атомов висмута в три раза превышает количество атомов европия. При увеличении доли ионов европия эффективность излучения снижается, что обусловлено изменениями в кристаллической структуре вещества. «Полученные результаты показывают, что синтезированные в ходе исследования люминофоры — перспективные кандидаты для применения в светодиодных лампах, поскольку они достаточно просты в получении, а их характеристики схожи с коммерческим стандартом красного люминофора», — заключает руководитель проекта Станислав Филатов, доктор геолого-минералогических наук, профессор кафедры кристаллографии СПбГУ. Ранее химикобъяснила, как купюры защищают от подделки.",https://hi-tech.mail.ru/news/124101-v-rossii-poluchili-novye-svetyashiesya-soedineniya/
Mercedes-Benz представил умный электромобиль с игровой системой на борту,8 часов назад,"Mercedes-Benz решил полностью изменить подход к созданию автомобилей. Вместо того чтобы сначала выпустить бензиновую модель и затем адаптировать ее под электрический привод, компания пошла противоположным путем. Новый CLA сначала появится в электрической версии, а затем выйдет гибридная модификация. Основанового CLA— универсальная платформа MMA (Mercedes Modular Architecture), разработанная по принципу «электромобиль прежде всего». Это позволит Mercedes снизить затраты на производство и предложить покупателям выбор между электрическим, гибридным и бензиновым двигателями в одном кузове. «Мы движемся к электрификации, но в 2025 году явно этого не будет на 100%. Поэтому еще долгие годы у нас будет дуализм», — пояснил генеральный директор Mercedes-Benz Group Ола Каллениус на презентации в Штутгарте. Новый CLA удивит запасом хода. Батарея емкостью 85,5 кВтч, что обеспечит автомобилю около 790 км пробега по стандарту WLTP. Даже если показатель EPA составит около 560 км, CLA все равно войдет в число лидеров рынка по дальности хода наравне сTesla. Автомобиль получит продвинутую систему рекуперации энергии OneBox, которая рассчитывает оптимальное торможение для максимальной эффективности. В обычных условиях основное торможение будет осуществляться через регенерацию, что позволит вернуть до 200 кВт энергии обратно в батарею. Архитектура с напряжением 800 вольт обеспечит сверхбыструю зарядку — всего за 10 минут можно добавить около 300 км запаса хода. Электромобиль будет доступен как с передним, так и с полным приводом, причем в полноприводной версии задний мотор выдает 268 л.с., а передний — 107 л.с. Передний двигатель может автоматически отключаться, когда в нем нет необходимости, что позволяет экономить энергию. Главная особенность нового CLA — операционная система MB.OS с расширенными функциями искусственного интеллекта. Она управляет информационно-развлекательной системой MBUX и позволяет контролировать все датчики и исполнительные механизмы автомобиля. MB.OS подключается к облаку, что обеспечивает обновления «по воздуху» для всех систем, включая функции помощи водителю. Передняя панель автомобиля оснащена «суперэкраном». Под стеклом расположены 10,25-дюймовая приборная панель и 14-дюймовый центральный дисплей. Кроме того, доступен опциональный 14-дюймовый экран для пассажира, на котором можно смотреть видео с платформ YouTube и использовать RideVu от Sony. Чтобы исключить отвлечение водителя, экран пассажира не виден с места водителя. Голосовой помощник Mercedes работает на базеGoogle Gemini, что делает его более естественным в общении. Он легко справляется с такими задачами, как навигация или поиск ресторана. Для общих знаний система использует модель GPT-4o отOpenAI, Microsoft Azure и Bing. Система запоминает предыдущие разговоры и учитывает контекст общения. Важно отметить, что все прогнозирование выполняется непосредственно в автомобиле, а не в облаке, что обеспечивает конфиденциальность. CLA оснащен системой помощи водителю Level 2++, приближающейся к автономному вождению третьего уровня. Водитель по-прежнему должен быть готов взять управление на себя, но система обеспечивает более высокий уровень автономности. Покупатели смогут разблокировать дополнительные функции ADAS после покупки через обновление «по воздуху». Электрический CLA (базовая версия называется CLA 250+ with EQ Technology) сначала появится в Китае и Европе, а осенью 2025 года выйдет на рынок США. Для тех, кто хочет больше мощности, будет доступна версия CLA 350 4MATIC with EQ Technology с полным приводом. Гибридная версия с 1,5-литровым четырехцилиндровым двигателем выйдет только в 2026 году. Mercedes пока не объявил цены на новый CLA, но с учетом текущей экономической ситуации и расширенного функционала, новый электромобиль будет стоить дороже, чем предыдущая модель, которая стартовала с отметки в 30 000 долларов (2 600 000 рублей). Это не единственная премьера марта в области электромобилей: ранее Volkswagen представила бюджетный электрокар. Рассказали о немв статье.",https://hi-tech.mail.ru/news/124102-mercedes-benz-predstavila-umnyj-elektromobil-s-igrovoj-sistemoj-na-bortu/
Как сделать шоколад полезным для здоровья: ответ ученых,9 часов назад,"Скоро многие начнут заполнять пасхальные корзины шоколадными конфетами для детей и взрослых. Темный шоколад считается полезным благодаря содержанию антиоксидантов, которые нейтрализуют вредные свободные радикалы. Другие виды этого лакомства несут меньшую пользу, но есть способ это исправить. ПоданнымPhys.org, ученые предложили добавлять в шоколад пребиотики, пробиотики и безопасные ароматизаторы. Решение позволяет улучшить структурные, вкусовые и питательные свойства всеми любимой сладости. Пробиотики, которые обычно содержатся в ферментированных продуктах, таких как йогурт и кимчи, — это живые микробы. Они улучшают микробиом кишечника, сдвигая баланс в сторону полезных бактерий и дрожжей. Они также могут облегчить проблемы с пищеварением и уменьшить воспаление. Этим активным культурам нужна пища и защита, поэтому пребиотики — вещества, такие как пищевые волокна и олигосахариды — иногда добавляют в блюда, содержащие пробиотики, для создания синбиотических продуктов. Шоколад — популярное лакомство во всем мире. Ученые выбрали его для тестирования различных комбинаций пре- и пробиотиков. В рамках исследования были созданы пять видов шоколада. Один состоял только из базовых компонентов: какао-масла, какао-порошка и сухого молока. Еще четыре образца были синбиотическим тестовым шоколадом, содержащим пребиотики (кукурузу и мед), один пробиотик (Lactobacillus acidophilus La-14 или Lactobacillus rhamnosus GG) и вкусовую добавку (корицу или апельсин). Синбиотические варианты отличались меньшей «хрупкостью», а еще они показали более высокий уровень антиоксидантов по сравнению с контрольным вариантом. Ароматизаторы также оказали влияние на некоторые параметры синбиотического лакомства. Так, апельсиновая добавка снижала показатель pH, увеличивала влажность и повышала содержание белка по сравнению с остальными образцами. Число микробов в образцах синбиотического шоколада уменьшалось со временем, но пробиотические культуры оставались активными даже спустя 125 дней хранения. Этот срок значительно превышает данные, полученные другими учеными, использовавшими разные бактерии и пребиотики в шоколаде. Более того, после моделирования условий прохождения через желудочно-кишечный тракт пробиотики в образцах сохраняли высокую жизнеспособность в течение более чем 5 часов. Полученные сладости попробовали. «Нам особенно понравился шоколад с апельсиновой добавкой. В нем яркие цитрусовые оттенки гармонично сочетаются с насыщенным вкусом какао, а слегка размягченная текстура делает каждый укус более роскошным», — заключают авторы исследования. По их словам, эксперименты с синбиотическим шоколадом все еще продолжаются. Ранее ученые открыли новую пользу фруктов и кофе. Подробнее об этом рассказано вдругом материале Hi-Tech Mail.",https://hi-tech.mail.ru/news/124093-kak-sdelat-shokolad-poleznym-dlya-zdorovya-otvet-uchenyh/
Эксперты назвали самые «шпионские» чат-боты: они собирают больше всего данных,20 часов назад,"Американские аналитики Surfsharkпровелиисследование с целью выяснить, какие ИИ-модели, чат-боты и нейросети собирают больше всего данных о пользователях. Изначально исследование проводилось, чтобы доказать то, как китайские чат-боты активно следят за людьми, однако результаты аналитики получились обратными. Например, нашумевший китайский чат-бот DeepSeek оказался лишь на 5-м месте. Все остальные места заняли только ИИ-модели, разработанные в США. В рамках эксперимента специалисты протестировали 10 популярных чат-ботов и провели следующие сравнения: Результат следующий. Google Gemini — самая «любопытная» нейросеть из ныне существующих. И она из США. Чат-бот обрабатывает 22 из 35 типов данных о пользователе, включая геолокацию, список контактов, историю поиска в браузере, личные файлы на устройстве. Исследователи отметили, что китайский DeepSeek собирает только 11 из 35 типов данных. Среди них: контактная информация, диагностические данные и пользовательский контент. Американский ChatGPT собирает чуть больше данных, но почти все их них диагностические, например, идентификаторы и данные о посещении. Дополнительные выводы:",https://hi-tech.mail.ru/news/124105-samye-shpionskie-chat-boty/
Ноутбуки в России подешевели из-за низкого спроса,21 час назад,"С конца 2024 года в России падает спрос на ноутбуки, а компаниям приходится снижать цены на залежавшиеся товары. Так, только в первые месяцы этого года стоимость устройств просела на 10−20%, что особенно касается дорогих моделей. По мнению экспертов,опрошенныхизданием «Известия», явление вызвано высокой ключевой ставкой ЦБ и отсутствием экономической стабильности — покупатели просто отложили траты до лучших времен. Как отметили в пресс-службе «М. Видео-Эльдорадо», низкая доступность кредитов реально влияет на темпы продаж ноутбуков. Покупатели либо откладывают приобретение техники, пока не накопят нужную сумму, либо выбирают бюджетные модели. Но на самом деле спрос на девайсы, наоборот, растет, но в низкой ценовой категории. По итогам 2024 года рынок ноутбуков в России увеличился на 8% в количественном и на 31% в денежном выражении. Такую же информацию подтверждают аналитики маркетплейса Wildberries. Оборот ноутбуков на торговой площадке за январь-февраль 2025 года вырос на 124% по сравнению с аналогичным прошлогодним периодом. При этом средний чек, наоборот, уменьшился: в категории «Ноутбуки» на 17%, а конкретно в случае с MacBook от Apple — на 6%. Покупатели и правда сместили свой интерес от топовых конфигураций к бюджетным моделям. Сегодня Федеральная антимонопольная служба Россиивыдалапредупреждение крупнейшим маркетплейсам за слишком низкие цены на электронику. Рассказываем, что теперь ждет покупателей и торговые площадки Ozon и Wildberries.",https://hi-tech.mail.ru/news/124104-noutbuki-v-rossii-podesheveli-iz-za-nizkogo-sprosa/
Премьера «Битвы Роботов» – новый сезон!,1 день назад,"В течение восьми эпизодов команды инженеров и разработчиков из разных городов продемонстрируют свои уникальные изобретения и сразятся за звание чемпиона. Роботы оснащены мощным оружием и проходят серьезные испытания, прежде чем выйти на арену. В первом выпуске встретились «Стилекс» (Москва) и «Kriloff» (Красноярск). «Стилекс», под руководством Георгия Бондаря, делает ставку на мощную орудийную систему и ходовку своего робота. Их робот «ЕЖК» оснащен 30-килограммовым спиннером, разгоняющимся до 6000 оборотов в минуту. «Kriloff», самая молодая команда турнира, под руководством Ивана Морозова, представила робота «Муравей и стрекоза». Для них робототехника — это не просто соревнование, а дело жизни, в котором участвуют даже родители. Согласно распоряжению Правительства, начиная с 2023 года, чемпионат «Битва Роботов» проходит ежегодно. Координацию подготовки и проведения чемпионата осуществляет Министерство цифрового развития, связи и массовых коммуникаций Российской Федерации. Финальный этап чемпионата прошел при поддержке Правительства Московской области. Оператор чемпионата — АНО «Инженеры и роботы». Генеральный технологический партнер проекта — VK, генеральный индустриальный партнер — «ИКС Холдинг». Медиа Hi-Tech Mail и ТехИнсайдер выступили информационными партнерами шоу.",https://hi-tech.mail.ru/news/124103-premera-bitvy-robotov-novyj-sezon/
Sony представила технологию RGB-телевизоров: лучше mini-LED и OLED,1 день назад,"Компания Sonyпредставилановый тип телевизионных дисплеев с использованием отдельных RGB-светодиодов, который сочетает в себе лучшие качества mini-LED и OLED-моделей. Технология позволяет повысить цветовой объем, увеличить яркость, расширить угол обзора дисплея и свести на нет ограничения по размерам телевизора. Однако пока концепция далека от выхода на рынок. В телевизорах с технологией mini-LED используется массив крошечных синих светодиодов, которые превышают размерами пиксели на дисплее, но все равно остаются достаточно маленькими для точного отображения картинки. А OLED-телевизоры обеспечивают еще более высокую контрастность, подсвечивая каждый пиксель по отдельности, но теряют в яркости и габаритах. Новая технология RGB LED использует красные, зеленые и синие светодиоды, которые направлены на пиксели дисплея с высокой точностью. Благодаря этому телевизор может обойтись без цветовых фильтров, обычно раскрашивающих картинку. Таким образом технология избавляется от размытия и искажения цветов при просмотре под углом — традиционного ограничения ЖК-моделей. Более того, новый тип дисплеев RGB LED от Sony легко масштабируется и не имеет ограничений по размеру — так что мы наконец-то увидим телевизоры с диагональю больше 100 дюймов и не по заоблачным ценам. Для сравнения, OLED-модели на 83 дюйма обходятся в среднем в 5000 долларов или примерно 430 тысяч рублей, а на 97 дюймов — уже в четыре раза дороже. Интересно, что RGB LED-подсветка — совсем не новая идея, но она так и не получила серийных моделей. Например, компания Sony представила свой первый телевизор с RGB-подсветкой еще в 2004 году, но он так и остался дорогой игрушкой. А конкуренты в лице Samsung буквально пару месяцев назадпривезлисвой вариант технологии RGB microLED на выставку CES 2025.",https://hi-tech.mail.ru/news/124100-sony-predstavila-tehnologiyu-rgb-televizorov/
Китай испытал систему полностью автономного управления дронами на поле боя,1 день назад,"Сообщается, что в ходе недавних учений НОАК была применена инновационная программа управления дронами на основе искусственного интеллекта. Программа разработана китайским оборонным гигантом Norinco. На учениях НОАК она использовалась для управления множеством дронов, которые выполняли следующие задачи: Дроны действовали полностью автономно, управляемые программным обеспечением на основе искусственного интеллекта. Военнослужащие НОАК участвовали только на последнем этапе нанесения дронами ударов, фактически лишь подтверждая выбор цели и нанесение удара. Система уже была официально представлена китайскими разработчиками на китайском авиасалоне в Чжухае. Проморолик с демонстрацией ее возможностей показывали на стенде корпорации Norinco на выставке. Разработанное Norinco программное обеспечение для управления дронами является одним из элементов будущей большой системы. Китай создает силы информационной поддержки НОАК. Фактически предполагается построить «сетевую информационную систему». Она будет использовать искусственный интеллект, облачные вычисления и методы больших данных для обработки информации с поля боя, определения оптимальных путей и возможностей ведения боя. В последующем предполагается возложить на эту же или аналогичные системы задачи по разведке, обработке разведданных и даже психологические операции на территории противника. Китай явно намерен получить преимущество на поле боя. Достигнуто оно должно быть путем ускорения реакции боевых единиц на угрозы, скоростью сбора и обработки информации о поле боя. И инструментами достижения этих целей должны стать дроны и искусственный интеллект. Что такое нейросети и как с этим жить, расскажет большойгайдот Hi-Tech Mail.",https://hi-tech.mail.ru/news/124099-kitaj-ispytal-sistemu-polnostyu-avtonomnogo-upravleniya-dronami/
Российский «тихий гигант» пугает США: что известно,1 день назад,"Американский экспертзаявляет, что США обеспокоены уникальными возможностями Ту-214Р. Сегодня это один из самых современных самолетов комплексной разведки в мире. Разработка самолета началась в 2002 году. Он должен был заменить самолеты комплексной разведки Ил-20. Разведчик изначально проектировался на базе пассажирского самолета. Это позволяет сделать самолет дешевым в эксплуатации и создать комфортные условия для работы экипажа. Кроме того, гражданский лайнер в прямом смысле летает тише военно-транспортного самолета, что даже нашло отражение в прозвище Ту-214Р, полученном от американцев. Еще одним важным фактором является то, что самолет способен оставаться в воздухе, ведя разведку, значительное время. Ту-214Р может оставаться в воздухе до 9 часов. Разведчик имеет ряд ярких внешних отличий от гражданского лайнера. Под фюзеляжем и по его бокам видны характерные обтекатели. За ними находятся мощные датчики, антенны радаров и оптическая аппаратура. Выступы в носовой части фюзеляжа скрывают комплекс оптической разведки «Фракция», который предназначен для получения снимков и видео высочайшего разрешения как днем, так и ночью в видимом инфракрасном диапазоне. В обтекателях по бортам расположены антенны многочастотного радара МРК-411. В отличие от самолетов дальнего радиолокационного обнаружения, с их огромной вращающейся антенной, водруженной на фюзеляж, тут антенны радаров не сильно выступают за габариты самолета. Это значительно улучшает летные характеристики. Все дело в том, что это радар с активной фазированной антенной решеткой. Радиолокационная станция бокового обзора МРК-411, работающая по принципу синтезированной апертуры, является главным козырем самолета. Такой принцип радиолокации позволяет получать детальные радиолокационные изображения цели на огромных расстояниях. Утверждается, что система может отслеживать цели на расстоянии до 400 километров в пассивном режиме и до 250 километров в активном режиме, предоставляя изображения в реальном времени прямо в штабы и на командные пункты. При этом от радара нельзя спрятаться так, как от визуального наблюдения. Он прекрасно видит объекты под маскировочными сетями, листвой, снегом и даже неглубоко под землей. Американские эксперты считают, что самолет еще не полностью раскрыл свой потенциал. Развитое радиоэлектронное оборудование, которое сейчас используется для радиоэлектронной разведки, в будущем может позволить самолету выступать в роли летающего пункта управления роями дронов. Главным недостатком Ту-214Р является их количество. Сегодня в строю всего два самолета. Заказ на постройку третьего экземпляра в процессе исполнения с 2016 года. Про новейший отечественный учебно-тренировочный самолет УТС-800 можно прочитать вматериалеHi-Tech Mail.",https://hi-tech.mail.ru/news/124098-rossijskij-tihij-gigant-pugaet-ssha-chto-izvestno/
Первая «война искусственных интеллектов»: кто победит,1 день назад,"Американский экспертзаявляет, что между США и Китаем уже идет война искусственных интеллектов. Но война эта «холодная». Фактически это гонка вооружений на основе искусственного интеллекта. Обе страны в 2024 году провели испытания полностью автономных систем вооружений, управляемых искусственным интеллектом. Китайская система не принимает сама окончательное решение об уничтожении выявленных целей, но ясно, что это вопрос этический. Технически легко сделать полностью автономную систему, которая сама будет принимать решение об уничтожении цели. И такие примеры уже есть. Американская компания Allen Control Systems выпустила полностью автономную пулеметную турель «Bullfrog», управляемую искусственным интеллектом, которая предназначена для борьбы с дронами. Но различные системы вооружения, демонстрируемые публично на выставках и учениях, это лишь вершина айсберга, считает эксперт. Согласно отчету Центра новой американской безопасности (CNAS) за 2023 год, китайские военные делают большую ставку на системы на основе искусственного интеллекта. Они обоснованно полагают, что они значительно ускорят процессы обработки информации и принятия решений. Так что, скорее всего, искусственный интеллект уже используется в целях разведки и получения информации. А значит, у «холодной» войны искусственных интеллектов есть и «горячий» фронт. И в этом противостоянии преимущество на стороне Китая. В октябре 2024 года армия США отправила вооруженного пулеметом «робота-собаку» на Ближний Восток для испытаний. Четырехногий беспилотный наземный аппарат (Q-UGV) управлялся искусственным интеллектом. Однако аналогичного робота Китай продемонстрировал раньше на несколько месяцев в ходе учений «Golden Dragon» в Камбодже. Возможно все дело в том, кто разрабатывает подобные системы в США и Китае. В Китае такими разработками занимаются государственные холдинги типа Norinco. В США же нету государственных разработчиков, правительству и военным придется опираться на частные компании и их потенциал. Однако это может привести к тому, что скорость их реакции на запросы военных будет недостаточно высокой. И коммерческих разработчиков уже начали привлекать к задачам работы над новым орудием. Google в начале 2024 отказался от своего же обязательства не разрабатывать оружие, управляемое искусственным интеллектом. О том, как искусственный интеллект меняет творчество и наше восприятие искусства, можно прочитать вматериалеHi-Tech Mail.",https://hi-tech.mail.ru/news/124097-pervaya-vojna-iskusstvennyh-intellektov-kto-pobezhdaet/
