Заголовок,Время публикации,Описание,Ссылка
Люди потеряют контроль над данными: в ЕС недовольны новыми правилами в Facebook*,"26 апреля 2025, 18:09","© Ferra.ru Пользователям в Нидерландах, не желающим, чтобы их данные — посты, фото и комментарии — применялись для тренировки Meta AI*, необходимо подать возражение до 27 мая. В противном случае Meta* автоматически начнет использовать их контент. AP подчеркивает, что новая политика Meta* затрагивает все публичные данные взрослых пользователей. Вице-президент AP Моник Вердир отметила: «Пользователи рискуют потерять контроль над своими данными. Вы публикуете пост, а он может оказаться частью ИИ-модели без вашего ведома». Регулятор сомневается в законности модели Meta*, где отсутствие возражения считается согласием, что может противоречить строгим европейским правилам защиты данных (GDPR). Поскольку европейская штаб-квартира Meta* находится в Ирландии, именно их регулятор ведет основную проверку. *принадлежит Meta, которая признана в РФ экстремистской и запрещена ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/apps/lyudi-poteryayut-kontrol-nad-dannymi-v-es-nedovolny-novymi-pravilami-v-facebook-26-04-2025.htm
Новый российский препарат от болезни Бехтерева внедрят в 45 регионах,"26 апреля 2025, 17:42","© Ferra.ru Препарат был разработан учеными из компании BIOCAD и Российского национального исследовательского медицинского университета имени Н. И. Пирогова под руководством академика Сергея Лукьянова. Он зарегистрирован Минздравом России в 2024 году и уже применяется при активной форме рентгенологически подтвержденного аксиального спондилоартрита. Особенность препарата в том, что он воздействует прицельно — разрушает иммунные клетки, провоцирующие болезнь, но при этом не подавляет весь иммунитет и не вызывает тяжелых побочных эффектов. В медицинском сообществе отмечают, что у сенипрутуга пока нет прямых аналогов в мире. В ближайшее время лечение начнется в республиках Коми, Карелия, Дагестан, Якутия, Татарстан, а также в Московской, Челябинской и Кемеровской областях, Красноярском и Хабаровском краях и других субъектах. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/v-rossii/novyi-rossiiskii-preparat-ot-bolezni-bekhtereva-vnedryat-v-45-regionakh-26-04-2025.htm
NASA перестала арендовать офис в Нью-Йорке из-за сокращения бюджета,"26 апреля 2025, 17:09","© Ferra.ru GISS, основанный в 1961 году, известен своими моделями климатических изменений и изучением атмосферы Земли. Институт арендует около 4000 кв. м в здании Armstrong Hall, платя $3,03 млн ежегодно. Решение о прекращении аренды связано с пересмотром всех государственных контрактов, инициированным администрацией президента США, хотя неясно, исходило ли оно от NASA или внешних структур, таких как Департамент эффективности правительства Илона Маска. Сотрудники обеспокоены, что это может быть предвестником сокращений бюджета на исследования Земли. Проект бюджета на 2026 год предусматривает снижение финансирования научных программ NASA почти на 50%, что угрожает климатическим исследованиям. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/techlife/nasa-perestala-arendovat-ofis-v-nyu-iorke-iz-za-sokrasheniya-byudzheta-26-04-2025.htm
"Как децентрализованная сеть Bluesky смогла выйти из строя, объяснили эксперты","26 апреля 2025, 17:00","© Ferra.ru Сбой вызвал недоумение: как децентрализованная сеть, где данные распределяются по множеству серверов, могла полностью остановиться? Децентрализация предполагает отсутствие единой точки отказа, но большинство пользователей Bluesky используют официальное приложение, работающее на протоколе AT Protocol и зависящее от инфраструктуры компании. Пока мало кто настроил собственные PDS, поэтому сбой затронул почти всех. Лишь пользователи с независимыми серверами избежали проблем. Инцидент обострил соперничество с другой децентрализованной платформой, Mastodon, использующей протокол ActivityPub. Пользователи Mastodon высмеивали Bluesky, подчёркивая устойчивость своих серверов, которые могут работать даже на компактных устройствах вроде Raspberry Pi. Bluesky оперативно восстановила сервис, но сбой показал, что децентрализация пока не гарантирует полной надёжности. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/apps/kak-decentralizovannaya-set-bluesky-smogla-vyiti-iz-stroya-obyasnili-eksperty-25-04-2025.htm
Anthropic захотела открыть «черный ящик» ИИ-моделей к 2027 году,"26 апреля 2025, 16:15","© Ferra.ru Интерпретируемость, то есть способность понимать, как ИИ принимает решения, становится критически важной, поскольку эти системы всё больше влияют на экономику, технологии и безопасность. Анодеи сравнивает ИИ-модели с организмами, которые «выращивают», а не создают, из-за чего их поведение сложно предсказать. Он выразил обеспокоенность тем, что без понимания их работы мощные ИИ могут стать опасными, особенно если достигнут уровня искусственного общего интеллекта (AGI) — систем, сравнимых по интеллекту с человеком. Anthropic уже добилась прогресса в отслеживании процессов принятия решений ИИ, но Амодеи призывает OpenAI и Google DeepMind усилить исследования в этой области. Компания также выступает за «лёгкие» государственные регуляции, включая требования к прозрачности безопасности ИИ, и предлагает ограничить экспорт чипов в Китай, чтобы замедлить глобальную гонку ИИ. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/apps/anthropic-zakhotela-otkryt-chernyi-yashik-ii-modelei-k-2027-godu-25-04-2025.htm
Прокурор США обвинил Википедию в пропаганде и переписывании истории,"26 апреля 2025, 16:07","© Ferra.ru Это может нарушать условия налогового статуса 501(c)(3), который требует, чтобы некоммерческие организации работали исключительно в образовательных или благотворительных целях. Письмо стало частью кампании администрации Трампа против СМИ и платформ, обвиняемых в либеральной предвзятости. Действия властей вызвали беспокойство у “защитников свободы слова”. Технологический критик Молли Уайт назвала письмо попыткой «запугивания независимых источников информации». Фонд пока не ответил публично. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/apps/prokuror-ssha-obvinil-vikipediyu-v-propagande-i-perepisyvanii-istorii-26-04-2025.htm
Владелец IGN подала иск против OpenAI за нарушение авторских прав,"26 апреля 2025, 15:30","© Ferra.ru Ziff Davis также заявляет, что OpenAI игнорировала инструкции, запрещающие сбор данных с их сайтов через файл robots.txt, и удаляла информацию об авторских правах из собранного контента.
Ziff Davis, управляющая более чем 45 брендами и привлекающая 292 миллиона посетителей ежемесячно, присоединяется к другим медиа, таким как The New York Times и The Intercept, в судебных тяжбах против OpenAI. Источники СМИ сообщают, что компания требует компенсации в размере сотен миллионов долларов. В отличие от них, некоторые издания, включая The Washington Post и The Atlantic, заключили с OpenAI лицензионные соглашения на использование контента. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/techlife/vladelec-ign-podala-isk-protiv-openai-za-narushenie-avtorskikh-prav-25-04-2025.htm
OnePlus представила мощный внешний аккумулятор на 150W с 20 000 мАч,"26 апреля 2025, 15:22","© OnePlus SuperVOOC 150W Power Bank поддерживает зарядку до трех устройств одновременно благодаря встроенному кабелю USB-C, а также портам USB-C и USB-A. Каждый порт обеспечивает до 100 Вт мощности, а общая мощность при использовании нескольких устройств достигает 150 Вт. Например, по данным OnePlus, аккумулятор способен зарядить MacBook Pro 2021 года до 54% всего за 30 минут. Поддержка протоколов PD 3.0, QC 3.0 и PPS делает его совместимым с большинством современных устройств, включая смартфоны, планшеты и ноутбуки. © OnePlus Аккумулятор оснащен функциями безопасности, такими как защита от перегрева и перезаряда, и соответствует стандартам авиаперевозок. Его цена в Китае составляет всего 349 юаней (около $48). ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/mobile/oneplus-predstavila-moshnyi-vneshnii-akkumulyator-na-150w-s-20-000-mach-26-04-2025.htm
Московский «Банк технологий» пополнился 90+ решениями от вузов,"26 апреля 2025, 15:14","© Ferra.ru Всего в реестре сервиса представлено свыше 520 технологий. Среди участников — Московский энергетический институт (20 разработок), РХТУ имени Менделеева (19 решений), МАДИ (14 проектов) и МГТУ имени Баумана (4 предложения). Сервис позволяет предприятиям подбирать технологии, находить исполнителей и получать консультации по внедрению. Как отметил глава департамента инвестиционной политики Анатолий Гарбузов, с 2023 года вузы получили доступ к размещению своих разработок в «Банке». Это способствует интеграции науки и производства. Среди предложенных технологий — экзоскелет с гидропневмоприводом от МЭИ, усиливающий физические возможности работников. МГТУ имени Баумана представил 3D-фабрику для лазерного спекания металлов и платформу ИИ для анализа больших данных. Пермский политех внедрил экологичный метод переработки отходов с использованием сверхкритической воды, пригодный для медицинских и промышленных отходов. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/v-rossii/moskovskii-bank-tekhnologii-popolnilsya-90-resheniyami-ot-vuzov-26-04-2025.htm
"Браузер Perplexity будет следить вообще за всем, что делают пользователи в Сети","26 апреля 2025, 14:45","© Perplexity В интервью подкасту TBPN Сринивас пояснил, что существующие запросы в приложении Perplexity, часто связанные с работой, не дают полной картины интересов пользователей. Браузер позволит отслеживать, что люди покупают, какие отели и рестораны посещают, и какие сайты просматривают, создавая детализированные профили для таргетинга рекламы. Comet, запуск которого намечен на май после задержек, станет вторым ключевым продуктом Perplexity после её ИИ-поисковика. Сринивас считает, что пользователи примут трекинг ради более релевантной рекламы, подражая модели Google, чья капитализация достигла 2 трлн долларов благодаря сбору данных. Perplexity также заключила партнёрство с Motorola, предустанавливая своё приложение на смартфоны Razr, и ведёт переговоры с Samsung. Однако такой подход вызывает вопросы о приватности. В условиях, когда пользователи в США и Европе всё больше беспокоятся о защите данных, массовая слежка может встретить “сопротивление”. ferra.ru, 2025 г.18+ Нашли опечатку? Выделите текст и нажмите Ctrl+Enter Телефон редакции:+7 495 785-17-00",https://www.ferra.ru/news/apps/brauzer-perplexity-budet-sledit-voobshe-za-vsem-chto-delayut-polzovateli-v-seti-25-04-2025.htm
